term,translation,notes
NBFDS,全米バイオ工学食品情報開示基準（NBFDS）,National Bioengineered Food Disclosure Standard
NCBA,全米肉牛生産者・牛肉協会（NCBA）,
NCC,全米鶏肉協議会（NCC）,
NCL,全米消費者連盟（NCL）,
NCLA,新市民の自由連盟（NCLA）,無線IDガイドラインをめぐりUSDAを提訴
NCTR,国立毒性研究センター（NCTR),National Center for Toxicological Research
NCUA,全米信用組合管理機構（NCUA）,米国の金融規制当局
NDI,新規ダイエタリーサプリメント成分（NDI）,
Nestle,ネスレ,
Nestle Waters North America,北米ネスレウォーターズ,
New Civil Liberties Alliance,新市民の自由連盟（NCLA）,無線IDガイドラインをめぐりUSDAを提訴
new dietary ingredient,新規ダイエタリーサプリメント成分（NDI）,
new dietary ingredients,新規ダイエタリーサプリメント成分（NDI）,
New England Meat Packing,ニューイングランド・ミートパッキング,
New Era of Smarter Food Safety,よりスマートな食品安全の新時代,
New Poultry Inspection System,新家禽検査システム（NPIS）,NPIS
New Swine Inspection System,新豚屠殺検査システム（NSIS）,
New York Times,ニューヨーク・タイムズ紙,
NFF,全国農業者連盟（NFF）,オーストラリアの農業者団体
NFI,全米漁業協会（NFI）,National Fisheries Institute
NFU,全国農業者組合（NFU）,
NIFA,国立食料農業研究所（NIFA）,移転計画のあるUSDAの研究機関
NIH,アメリカ国立衛生研究所（NIH）,
NMPF,全米牛乳生産者連盟（NMPF）,
NOAA,アメリカ海洋大気庁（NOAA）,National Oceanic and Atmospheric Administration
Nofima,ノルウェー食品・漁業・水産養殖研究所（NOFIMA）,
non-communicable diseases,非伝染性疾病（NCD）,
NON-NUTRIENT,非栄養素,
non-psychoactive,非精神作用物,精神作用の無い
non-ready-to-eat,non-RTE食品,
NOP,全米有機プログラム（NOP）,
North American Free Trade Agreement,北米自由貿易協定（NAFTA）,NAFTA
North American Meat Institute,北米食肉協会（NAMI）,
"Norwegian Institute of Food, Fisheries and Aquaculture",ノルウェー食品・漁業・水産養殖研究所（NOFIMA）,
NOSB,全米有機認証基準委員会（NOSB）,
Not classifiable as to its carcinogenicity to humans,ヒトに対する発がん性について分類できない,
NPA,米国自然製品協会（NPA）,
NPBT,新植物育種技術（NPBT）,
NPF,ナショナル・プレス財団（NPF）,貿易問題に関する専門家パネルを主催
NPPC,全米豚肉生産者協議会（NPPC）,
NRA,全米レストラン協会（NRA）,
NRDC,天然資源保護協議会（NRDC）,
NSAC,全国持続的農業連合会（NSAC）,
NuGo Nutrition,日本語表記はありません,栄養バーメーカー。ダークチョコレートの識別基準を求める
NuTek,日本語表記はありません,塩化カリウムを「カリウム塩」として記載できるよう請願
nutrient content claim,栄養素含有量強調表示,
Nutrition Facts, 栄養成分表,
OCA,有機消費者協会（OCA）,
Occupational Safety and Health Administration,労働安全衛生局（OSHA）,労働省の下部機関
Ocean Spray Cranberry,オーシャンスプレー・クランベリー,表示問題で提訴される
OECD,ヨーロッパ経済協力機構（OECD）,Organization for European Economic Cooperation
OEHHA,カリフォルニア州環境保健有害性評価局（OEHHA）,
OFAS,食品添加物安全事務局（OFAS）、食品添加物安全室（OFAS）,
Office of Administrative Law,カリフォルニア州行政法局,
Office of Environmental Health Hazard Assessment,カリフォルニア州環境保健有害性評価局（OEHHA）,
Office of Food Additive Safety (OFAS),食品添加物安全事務局（OFAS）,
Office of Inspector General,監察総監室（OIG）,各連邦政府機関の中に設置
Office of Management and Budget,米国行政管理予算局（OMB）,
Office of the Gene Technology Regulator,遺伝子技術規制局（OGTR）,
Office of the United States Trade Representative,米国通商代表部（USTR）,
OFPA,有機食品生産法（OFPA）,
OIE,国際獣疫事務局（OIE）,最近略称がWOAHに変更
OIG,監察総監室（OIG）,各連邦政府機関の中に設置
olfactory receptor,嗅覚受容体,
Olymel,オリメル,カナダの大手食肉会社
OMB,米国行政管理予算局（OMB）,
ONE Brands LLC,日本語表記はありません,プロテインバーを製造
Organic Foods Production Act,有機食品生産法（OFPA）,
Organic Livestock and Poultry Practices ,有機家畜・家禽飼育法,OLPP
Organic Trade Association,有機取引協会（OTA）,
OSC,米国特別顧問局（OSC）,
OSHA,労働安全衛生局（OSHA）,労働省の下部機関
OTA,有機取引協会（OTA）,
overhaul,徹底的に見直す,
Panel on Contaminants in the Food Chain（CONTAM panel）,フードチェーンにおける汚染物質に関するパネル（CONTAMパネル）,
Paperwork Reduction Act,文書業務削減法,
Parmigiano Reggiano,パルミジャーノ・レッジャーノ,
patent office,特許局,
PBFA,植物性食品協会（PBFA）,
PCRM,責任ある医療のための医師会（PCRM）,
PepsiCo,ペプシコ,
peracetic acid,過酢酸,
perchlorate,過塩素酸塩,
Perdue,パーデュー,"Sonny Perdue, Secretary of Agriculture　ソニー・パーデュー米国農務長官"
Perdue Farms,パーデュー,大手家禽肉生産業者
Perfect Day,パーフェクトデイ,微生物産生タンパク質を製造
PFAS,ペル／ポリフルオロアルキル物質（PFAS）,
PFOS,ペルフルオロオクタンスルホン酸（PFOS）,
PGI,地理的表示保護（PGI）,
Philippine National Standards (PNS),フィリピン国家規格（PNS）,
Physicians Committee for Responsible Medicine,責任ある医療のための医師会（PCRM）,
Pilgrim’s Pride,ピルグリムズ・プライド,JBS社の系列
Pirbright Institute,ピルブライト研究所,英国の研究所。アフリカ豚コレラのワクチンを作成中。
Plaintiff,原告,
Plant Based Foods Association,植物性食品協会（PBFA）,PBFA
PMA,農産物マーケティング協会（PMA）,
Poison control center,中毒事故管理センター,
pollinator,花粉媒介生物,
polycyclic aromatic hydrocarbon,多環芳香族炭化水素,
polyvinyl alcohol,ポリビニルアルコール（PVOH）,
Possibly carcinogenic to humans,ヒトに対して発がん性を有する可能性がある,
Power Purchase Agreement,電力売買契約（PPA）,
PPA,電力売買契約（PPA）,
Pret A Manger,プレタ・マンジェ,「ナチュラル」表示で訴えられる
Preventive Controls for Animal Food Rule,動物飼料の予防的管理規則,
price performance,価格性能比,
Prime Label Consultants,日本語表記はありません,食品表示に関するバーチャル会議を主催
Probably carcinogenic to humans,おそらくヒトに対して発がん性を有する,
Processing Contaminants,加工汚染物質,
Produce Marketing Association,農産物マーケティング協会（PMA）,
Produce Safety rule,農産物安全規則,
Prop 65,カリフォルニア州法案プロポジション65（Prop 65),Proposition 65
Protected Geographical Indication,地理的表示保護（PGI）,
protein,タンパク質,
provisions,規定,項目
psychoactive,精神活性,
Public consultation,公開協議,
PVOH,ポリビニルアルコール（PVOH）,
Qu Dongyu,屈冬玉,
qualified health claim,限定的健康強調表示,
quantum satis,必要量,初出時は「必要量（quantum satis）」と表記する
Quebec Ministry of Health,ケベック州保健省,
Queensland University of Technology,クイーンズランド工科大学,
ractopamine,ラクトパミン,
Rainforest Action Network,レインフォレスト・アクション・ネットワーク（RAN）,
RAN,レインフォレスト・アクション・ネットワーク（RAN）,
Rapid Alert System for Food and Feed,食品飼料緊急警報システム（RASFF）,
RASFF,食品飼料緊急警報システム（RASFF）,
R-CALF USA,牧場主・肉用牛生産者行動法律財団・アメリカ家畜生産者連合（R-CALF USA）,
ready-to-drink,RTD飲料,
ready-to-eat,RTE食品,
red meat,レッドミート,初出時は末尾に（red meat）を併記
regenerative agriculture,環境再生型農業,※初出時は英語も併記
regenerative farming,環境再生型農業,※初出時は英語も併記
Regulation (EU) 2015/2283,規則（EU）2015/2283,
Regulation (EU) 2015/2283 of the European Parliament and of the Council,規則（EU）2015/2283,
regulatory regime,規制制度,
reinstates,"回復,復活",Reinstate membership = 回委員資格停止を解除
Reuters,ロイター通信,
RFA,再生可能燃料協会（RFA）,
RFS,再生可能燃料基準（RFS）,
risk,リスク,
risk management recommendation,リスク管理勧告（RMR）,
RMR,リスク管理勧告,Risk Management Recommendation
Rosa DeLauro,ローザ・デローロ,
Rosselkhoznadzor,ロシア連邦動植物検疫監督局（Rosselkhoznadzor）,
Roundtable on Sustainable Palm Oil,持続可能なパーム油のための円卓会議（RSPO）,
RSPO,持続可能なパーム油のための円卓会議（RSPO）,Round Table of Sustainable Palm Oil
RTE,インスタント食品,Ready-to-eat foods
rulemaking,規則制定,
Russia’s Federal Service for Veterinary and Phytosanitary Surveillance　（Rosselkhoznadzor）,ロシア連邦動植物検疫監督局,
Salmonella,"サルモネラ、サNew Era E-Commerce Summit,ルモネラ属菌",
Salmonella Enteritidis,サルモネラ・エントリティディス,
salmonellosis,サルモネラ症,
Sam’s Club,日本語表記はありません,
Samantha Power,サマンサ・パワー,米国のUSAID長官
Sanderson Farms,サンダーソン・ファームズ,大手家禽肉生産業者
Sanitation SOPs,衛生規格運用手順（Sanitation SOPs）,
Sanitation Standard Operating Procedures,衛生規格運用手順（Sanitation SOPs）,
sanitizer,消毒剤,
Sargento,Sargento社,
Schwan Food Company,シュワン・フード・カンパニー,冷凍食品を製造
scientific opinion,科学的意見／科学的意見書,EFSAの見解をまとめたもの
Scott Pruitt,スコット・プルーイット,EPA長官
Secretary of Agriculture,農務長官,
SEIU,サービス従業員国際組合（SEIU）,
sell-by date,販売期限,アジアの非英語圏は、適宜内容を確認する
Sen,上院議員,
Senate Agriculture Committee,上院農業委員会,
Senate Appropriations Ag Subcommittee,上院歳出農業小委員会,
Senate Appropriations Committee,上院歳出委員会,
"Senate Committee for Agriculture, Nutrition and Forestry",上院農業・栄養・林業委員会,
"Senate Committee on Commerce, Science and Transportation",上院商業・科学・運輸委員会,
Senate Majority Leader,上院多数党院内総務,
senior scientist,研究主幹,
Service Employees International Union,サービス従業員国際組合（SEIU）,
SHA,スー・ハニー・アソシエーション（SHA）,
shell egg,殻付卵,
Shigatoxin-producing E. coli,志賀毒素産生性大腸菌,
shigellosis,細菌性赤痢,
Shiok Meats,日本語表記はありません,細胞培養エビを開発するシンガポールの会社
SIAL,国際食品見本市（SIAL）,
SIMP,水産物輸入監視制度（SIMP）,Seafood Import Monitoring Program
Singapore’s Ministry of Health,シンガポール保健省,
Sioux Honey Association,スー・ハニー・アソシエーション（SHA）,
slam,激しく非難,
Smithfield Foods,スミスフィールド・フーズ,世界最大の豚肉加工会社
SNA,学校栄養協会（SNA）,
SNAP,補助的栄養支援プログラム（SNAP）,
Sonny Perdue,ソニー・パーデュー,ソニー・パーデュー米国農務長官
specific migration limit,特定移行量制限（SML）,
spending bill,歳出法案,
Spirits,蒸留酒,
stakeholders,利害関係者,
standard of identity,識別規格,
standardized food,規格化食品,※米国で識別規格（standard of identity）を有する食品を指す場合
"Standards for the Growing, Harvesting, Packing, and Holding",食用農産物の栽培，収穫，出荷，貯蔵の基準,
Starbucks,スターバックス,
State attorney general,州検事総長,
State attorneys general,州検事総長,
State of the Union,一般教書演説,State of the Union Address
Stella Kyriakides,ステラ・キリアキデス,欧州委員会の保健・食品安全担当委員（2022年9月時点）
Steptoe & Johnson,日本語表記はありません,法律事務所
Stericycle Expert Solutions,日本語表記はありません,4半期ごとに食品リコールのデータを発表
subcommittee,小委員会,
summary judgment,略式判決,
Supplemental Nutrition Assistance Program,補助的栄養支援プログラム（SNAP）,
Sustainability,サステナビリティ,
Sustainable,持続可能な,
Sustainable Development Goals,持続可能な開発目標（SDGs）,
Syngenta,シンジェンタ,
Taiwan's Agriculture and Food Agency,台湾農糧署（AFA）,
Tammy Baldwin,タミー・ボールドウィン上院議員,
Tate & Lyle,テート＆ライル社,A food company
TDI,耐容一日摂取量（TDI）,
Technical Regulation,技術規則,
TEF,毒性等価係数（TEF）,
TEQ,毒性等量（TEQ）,
Tereza Cristina,テレザ・クリスチナ,
Thai Union,タイ・ユニオン,
THC,テトラヒドロカンナビノール（THC）,
The Acheson Group,ザ・アチソン・グループ,食品安全コンサルティング会社
the Consumer Goods Forum,ザ・コンシューマー・グッズ・フォーラム（CGF）,
The Standing Committee of the 13th National People’s Congress,中国第13期全国人民代表大会（全人代）常務委員会,食用目的の野生動物取引を禁止
The US Court of Appeals for the Second Circuit,連邦第二巡回区控訴裁判所,
Tillamook County Creamery Association,ティラムック郡乳製品製造所協会,オレゴン州の酪農協同組合。虚偽広告訴訟を起こされる
Tip Top Poultry,日本語表記はありません,鶏肉製品をリコール
Tolerable Daily Intake,耐容一日摂取量（TDI）,
tolerable weekly intake,耐容週間摂取量,
Tom Vilsack,トム・ビルサック,米国のUSDA長官
Toxic Equivalency Factor,毒性等価係数（TEF）,
Toxic Equivalent,毒性等量（TEQ）,
Toxoplasma gondii,トキソプラズマ,初出時は学名を併記
Trans-Pacific Partnership,環太平洋パートナーシップ協定（TPP）,TPP
Trichinella,旋毛虫,初出時は学名を併記
TRQ,関税割当制度（TRQ）,
TTB,アルコール・タバコ税貿易管理局（TTB）,アルコール飲料のラベル表示基準に関する新規則を発行
Turtle Island Foods,タートル・アイランド・フーズ,トーファーキーを製造
type 2 diabetes,II型糖尿病 ,
Tyson Foods,タイソン・フーズ,
Tyson Fresh Meats,タイソン・フレッシュ・ミーツ,
U. S. Food and Drug Administration,米国食品医薬品局（FDA）,
UAE,アラブ首長国連邦（UAE）,
UECBV,欧州家畜食肉取引業者連盟（UECBV）,
UEP,米国鶏卵生産者協会（UEP）,
UFCW,全米食品商業労働組合（UFCW）,
UK Food Standards Agency,英国食品基準庁（FSA）,
unconstitutional,違憲,
UNEP,国連環境計画（UNEP）,
UNIDO,国連工業開発機関（UNIDO）,
Unified Agenda,統一アジェンダ（Unified Agenda）,
Unilever,ユニリーバ,
Union list,欧州連合リスト,
unique facility identifier,固有施設識別名（UFI）,
United Food and Commercial Workers,全米食品商業労働組合（UFCW）,
United Fresh,米国生鮮青果物協会(United Fresh Produce Association),
United Fresh Produce Association,米国生鮮青果物協会（United Fresh Produce Association）,
United Nations Environment Programme,国連環境計画（UNEP）,
United Nations Industry Development Organization,国連工業開発機関（UNIDO）,
United States Agency for International Development,米国国際開発庁（USAID）,
United States Cattlemen’s Association,全国牧畜業者牛肉協会（USCA）,
Upfield US,日本語表記はありません,バター代替品を製造
Upton’s Naturals,日本語表記はありません,ミシシッピ州の「フェイク・ミート」法に対し提訴
urinary tract infections,尿路感染症（UTI）,
Ursula von der Leyen,ウルズラ・フォン・デア・ライエン,
US Cattlemen’s Association,米国肉牛生産者協会（USCA）,
US Court of Appeals for the Ninth Circuit,連邦第九巡回控訴裁判所,
US Customs and Border Protection,米国税関国境警備局（CBP）,
US Dairy Export Council, アメリカ乳製品輸出協会（USDEC）,
US Department of Commerce,米国商務省（DOC）,
US Department of Commerce ,米国商務省（DOC）,
US Office of Special Counsel,米国特別顧問局（OSC）,
US Patent and Trademark Office,米国特許商標庁（USPTO）,
US PIRG,米国公共利益調査グループ（US PIRG）,消費者団体
USA Rice Federation,USAライス連合会,
USAID,米国国際開発庁（USAID）,
USCA,米国肉牛生産者協会（USCA）,
USDA,米国農務省（USDA）,
use-by date,消費期限,アジアの非英語圏は、適宜内容を確認する
USHGA,米国ヘンプ生産者協会（USHGA）,
USMCA,米国・メキシコ・カナダ協定（USMCA）,
US-Mexico-Canada Agreement,米国・メキシコ・カナダ協定（USMCA）,
USPTO,米国特許商標局（USPTO）,
USTR,米国通商代表部（USTR）,
Vibra Agroindustrial,日本語表記はありません,ブラジルの家禽肉会社
vinylidene chloride,塩化ビニリデン,
Vion,日本語表記はありません,オランダの食肉会社
VQIP,任意適格輸入業者プログラム（VQIP）,
Wageningen Food Safety Research,ワーヘニンゲン食品安全研究所,
Walmart ,ウォルマート,
warning letters,警告書,
Ways and Means,下院歳入委員会,
WCRF,世界がん研究基金（WCRF）,
Wegmans,ウェグマンズ,
WFP,世界食糧計画（WFP）,
WH Group,万洲国際（WHグループ）,
White House Office of Management and Budget,米国行政予算管理局（OMB）,
WHO,世界保健機関（WHO）,
WHO Global Strategy for Food Safety,WHO食品安全世界戦略,
Whole Food Markets,ホールフーズマーケット,
whole genome sequencing,全ゲノム解読,
WIKIM,世界キムチ研究所（WIKIM）,
WITA,ワシントン国際貿易協会（WITA）,
World Cancer Research Fund International,世界がん研究基金（WCRF）,
World Food Programme,世界食糧計画（WFP）,
World Health Organization,世界保健機関（WHO）,WHO
World Institute of Kimchi,世界キムチ研究所（WIKIM）,
World Resources Institute,世界資源研究所（WRI）,
WRI,世界資源研究所（WRI）,
WTO,世界貿易機関（WTO）,
yellow mealworm,チャイロコメノゴミムシダマシの幼虫,
Yiannas,イアナス,
Yield10 Bioscience,日本語表記はありません,
zoonosis,人獣共通感染症,
zoonotic disease,人獣共通感染症,
slaughter,屠畜,文脈では「屠畜」、法律などの名称では「と畜」※正式な和訳・名称を優先する
Food and Drugs Act,食品医薬品法,※カナダの法令
Food and Drug Regulations,食品医薬品規則,※カナダの法令
Safe Food for Canadians Act,カナダ国民のための食品安全法（SFCA）,
Safe Food for Canadians Regulations,カナダ国民のための食品安全規則（SFCR）,
lipid-based nutrient supplement,脂質ベースの栄養サプリメント（LNS),※初出時は英語を併記
ready-to-use therapeutic food,すぐに食べられる栄養治療食（RUTF),※初出時は英語を併記
LNS,脂質ベースの栄養サプリメント,※初出時は英語(lipid-based nutrient supplement)を併記
RUTF,すぐに食べられる栄養治療食,※初出時は英語を併記(ready-to-use therapeutic food)を併記
European Medicines Agency,欧州医薬品庁（EMA）,
EMA,欧州医薬品庁（EMA）,※European Medicines Agency
personalized nutrition,パーソナライズドニュートリション,※初出時は英語（personalized nutrition）を併記
Department of Health and Social Care,保健社会福祉省（DHSC）,※英国機関
DHSC,保健社会福祉省（DHSC）,※英国機関のDepartment of Health and Social Care
due diligence,デューディリジェンス,
request for information,情報提供依頼（RFI）,※米国FDAの記事に出てきた場合のみ
RFI,情報提供依頼（RFI),※米国FDAの記事に出てきた場合のみ
